State,City,Gender,Weapon Used,Affected Age Group,Total,Year
Amazonas,Leticia (Ct),Female,Sharp weapon,Teenagers,1.0,2015
Amazonas,Leticia (Ct),Female,Sharp weapon,Adult,1.0,2015
Amazonas,Leticia (Ct),Female,Blunt force weapon,Teenagers,6.0,2015
Amazonas,Leticia (Ct),Female,Blunt force weapon,Adult,100.0,2015
Amazonas,Leticia (Ct),Female,Blunt force weapon,Minors,3.0,2015
Amazonas,Leticia (Ct),Female,Sharp weapon,Adult,1.0,2015
Amazonas,Leticia (Ct),Female,Sharp weapon,Adult,2.0,2015
Amazonas,Leticia (Ct),Female,Punzantes,Adult,1.0,2015
Amazonas,Leticia (Ct),Female,None,Adult,19.0,2015
Amazonas,Leticia (Ct),Female,None,Minors,2.0,2015
Amazonas,Leticia (Ct),Male,Sharp weapon,Adult,5.0,2015
Amazonas,Leticia (Ct),Male,Blunt force weapon,Teenagers,6.0,2015
Amazonas,Leticia (Ct),Male,Blunt force weapon,Adult,32.0,2015
Amazonas,Leticia (Ct),Male,Blunt force weapon,Minors,2.0,2015
Amazonas,Leticia (Ct),Male,Sharp weapon,Adult,2.0,2015
Amazonas,Leticia (Ct),Male,None,Adult,1.0,2015
Amazonas,Puerto Nariño,Female,Sharp weapon,Adult,2.0,2015
Amazonas,Puerto Nariño,Female,Blunt force weapon,Teenagers,1.0,2015
Amazonas,Puerto Nariño,Male,Sharp weapon,Minors,1.0,2015
Amazonas,Puerto Nariño,Male,None,Teenagers,1.0,2015
Antioquia,Abejorral,Female,Sharp weapon,Adult,2.0,2015
Antioquia,Abejorral,Female,Blunt force weapon,Adult,2.0,2015
Antioquia,Abriaquí,Female,Blunt force weapon,Adult,1.0,2015
Antioquia,Abriaquí,Female,None,Adult,1.0,2015
Antioquia,Alejandría,Female,Blunt force weapon,Teenagers,1.0,2015
Antioquia,Alejandría,Female,Blunt force weapon,Adult,5.0,2015
Antioquia,Alejandría,Female,None,Adult,1.0,2015
Antioquia,Alejandría,Male,Blunt force weapon,Minors,1.0,2015
Antioquia,Amagá,Female,Blunt force weapon,Adult,21.0,2015
Antioquia,Amagá,Female,Blunt force weapon,Minors,1.0,2015
Antioquia,Amagá,Female,Not reported,Adult,1.0,2015
Antioquia,Amagá,Female,None,Adult,3.0,2015
Antioquia,Amagá,Male,Blunt force weapon,Teenagers,1.0,2015
Antioquia,Amagá,Male,Blunt force weapon,Adult,6.0,2015
Antioquia,Amagá,Male,Sharp weapon,Minors,1.0,2015
Antioquia,Amagá,Male,Not reported,Adult,1.0,2015
Antioquia,Amagá,Male,Not reported,Minors,1.0,2015
Antioquia,Amagá,Male,None,Adult,1.0,2015
Antioquia,Amalfi,Female,Blunt force weapon,Teenagers,1.0,2015
Antioquia,Amalfi,Female,Blunt force weapon,Adult,21.0,2015
Antioquia,Amalfi,Female,Not reported,Adult,4.0,2015
Antioquia,Amalfi,Female,None,Adult,10.0,2015
Antioquia,Amalfi,Male,Sharp weapon,Adult,1.0,2015
Antioquia,Amalfi,Male,Blunt force weapon,Adult,4.0,2015
Antioquia,Amalfi,Male,None,Adult,1.0,2015
Antioquia,Andes,Female,Sharp weapon,Adult,3.0,2015
Antioquia,Andes,Female,Blunt force weapon,Adult,26.0,2015
Antioquia,Andes,Female,Scopolamine,Adult,1.0,2015
Antioquia,Andes,Female,Not reported,Teenagers,1.0,2015
Antioquia,Andes,Female,Not reported,Adult,18.0,2015
Antioquia,Andes,Female,None,Teenagers,1.0,2015
Antioquia,Andes,Female,None,Adult,58.0,2015
Antioquia,Andes,Female,None,Minors,1.0,2015
Antioquia,Andes,Male,Sharp weapon,Adult,2.0,2015
Antioquia,Andes,Male,Blunt force weapon,Adult,3.0,2015
Antioquia,Andes,Male,Sharp weapon,Adult,1.0,2015
Antioquia,Andes,Male,Not reported,Adult,4.0,2015
Antioquia,Andes,Male,None,Teenagers,1.0,2015
Antioquia,Andes,Male,None,Adult,10.0,2015
Antioquia,Angelópolis,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Angelópolis,Female,Blunt force weapon,Adult,6.0,2015
Antioquia,Angelópolis,Female,None,Adult,5.0,2015
Antioquia,Angostura,Female,Blunt force weapon,Adult,8.0,2015
Antioquia,Angostura,Female,Punzantes,Adult,1.0,2015
Antioquia,Angostura,Female,None,Teenagers,1.0,2015
Antioquia,Angostura,Female,None,Adult,5.0,2015
Antioquia,Angostura,Male,Blunt force weapon,Teenagers,1.0,2015
Antioquia,Anorí,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Anorí,Female,Blunt force weapon,Adult,6.0,2015
Antioquia,Anorí,Female,None,Adult,1.0,2015
Antioquia,Anorí,Male,Blunt force weapon,Minors,1.0,2015
Antioquia,Anorí,Male,None,Adult,1.0,2015
Antioquia,Anza,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Anza,Female,Blunt force weapon,Adult,5.0,2015
Antioquia,Apartadó,Female,Sharp weapon,Teenagers,1.0,2015
Antioquia,Apartadó,Female,Sharp weapon,Adult,27.0,2015
Antioquia,Apartadó,Female,Firearm,Adult,1.0,2015
Antioquia,Apartadó,Female,Blunt force weapon,Teenagers,5.0,2015
Antioquia,Apartadó,Female,Blunt force weapon,Adult,78.0,2015
Antioquia,Apartadó,Female,Blunt force weapon,Minors,2.0,2015
Antioquia,Apartadó,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Apartadó,Female,Scopolamine,Teenagers,1.0,2015
Antioquia,Apartadó,Female,Scopolamine,Adult,3.0,2015
Antioquia,Apartadó,Female,Not reported,Adult,10.0,2015
Antioquia,Apartadó,Female,None,Teenagers,5.0,2015
Antioquia,Apartadó,Female,None,Adult,156.0,2015
Antioquia,Apartadó,Female,None,Minors,2.0,2015
Antioquia,Apartadó,Male,Sharp weapon,Adult,9.0,2015
Antioquia,Apartadó,Male,Blunt force weapon,Teenagers,1.0,2015
Antioquia,Apartadó,Male,Blunt force weapon,Adult,10.0,2015
Antioquia,Apartadó,Male,Blunt force weapon,Minors,3.0,2015
Antioquia,Apartadó,Male,Scopolamine,Adult,1.0,2015
Antioquia,Apartadó,Male,None,Adult,3.0,2015
Antioquia,Apartadó,Male,None,Minors,2.0,2015
Antioquia,Arboletes,Female,Firearm,Adult,1.0,2015
Antioquia,Arboletes,Female,Blunt force weapon,Adult,11.0,2015
Antioquia,Arboletes,Female,None,Adult,7.0,2015
Antioquia,Arboletes,Male,Blunt force weapon,Adult,4.0,2015
Antioquia,Argelia,Female,None,Adult,2.0,2015
Antioquia,Armenia,Female,Blunt force weapon,Adult,2.0,2015
Antioquia,Armenia,Female,Scopolamine,Adult,1.0,2015
Antioquia,Armenia,Female,None,Teenagers,1.0,2015
Antioquia,Armenia,Female,None,Adult,5.0,2015
Antioquia,Armenia,Male,None,Adult,1.0,2015
Antioquia,Barbosa,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Barbosa,Female,Firearm,Adult,1.0,2015
Antioquia,Barbosa,Female,Blunt force weapon,Adult,21.0,2015
Antioquia,Barbosa,Female,Blunt force weapon,Minors,1.0,2015
Antioquia,Barbosa,Female,None,Teenagers,2.0,2015
Antioquia,Barbosa,Female,None,Adult,19.0,2015
Antioquia,Barbosa,Male,Sharp weapon,Teenagers,1.0,2015
Antioquia,Barbosa,Male,Sharp weapon,Adult,1.0,2015
Antioquia,Barbosa,Male,Blunt force weapon,Adult,5.0,2015
Antioquia,Barbosa,Male,Blunt force weapon,Minors,1.0,2015
Antioquia,Barbosa,Male,None,Adult,4.0,2015
Antioquia,Barbosa,Male,None,Minors,1.0,2015
Antioquia,Bello,Female,Sharp weapon,Teenagers,1.0,2015
Antioquia,Bello,Female,Sharp weapon,Adult,17.0,2015
Antioquia,Bello,Female,Firearm,Adult,2.0,2015
Antioquia,Bello,Female,Blunt force weapon,Teenagers,6.0,2015
Antioquia,Bello,Female,Blunt force weapon,Adult,149.0,2015
Antioquia,Bello,Female,Blunt force weapon,Minors,4.0,2015
Antioquia,Bello,Female,Sharp weapon,Adult,2.0,2015
Antioquia,Bello,Female,Scopolamine,Teenagers,1.0,2015
Antioquia,Bello,Female,Scopolamine,Adult,2.0,2015
Antioquia,Bello,Female,None,Teenagers,11.0,2015
Antioquia,Bello,Female,None,Adult,344.0,2015
Antioquia,Bello,Female,None,Minors,1.0,2015
Antioquia,Bello,Male,Sharp weapon,Adult,11.0,2015
Antioquia,Bello,Male,Blunt force weapon,Adult,20.0,2015
Antioquia,Bello,Male,Scopolamine,Adult,2.0,2015
Antioquia,Bello,Male,None,Teenagers,3.0,2015
Antioquia,Bello,Male,None,Adult,62.0,2015
Antioquia,Bello,Male,None,Minors,2.0,2015
Antioquia,Belmira,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Belmira,Female,Blunt force weapon,Adult,3.0,2015
Antioquia,Betania,Female,Sharp weapon,Adult,2.0,2015
Antioquia,Betania,Female,Blunt force weapon,Adult,1.0,2015
Antioquia,Betania,Female,None,Adult,5.0,2015
Antioquia,Betulia,Female,Blunt force weapon,Teenagers,1.0,2015
Antioquia,Betulia,Female,Blunt force weapon,Adult,5.0,2015
Antioquia,Betulia,Female,Not reported,Adult,1.0,2015
Antioquia,Betulia,Female,None,Teenagers,1.0,2015
Antioquia,Betulia,Female,None,Adult,5.0,2015
Antioquia,Betulia,Male,Blunt force weapon,Adult,1.0,2015
Antioquia,Briceño,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Briceño,Female,None,Adult,1.0,2015
Antioquia,Buriticá,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Buriticá,Female,Blunt force weapon,Adult,2.0,2015
Antioquia,Buriticá,Female,Not reported,Adult,1.0,2015
Antioquia,Caicedo,Female,Blunt force weapon,Adult,1.0,2015
Antioquia,Caicedo,Female,None,Adult,2.0,2015
Antioquia,Caldas,Female,Sharp weapon,Adult,7.0,2015
Antioquia,Caldas,Female,Firearm,Adult,2.0,2015
Antioquia,Caldas,Female,Blunt force weapon,Teenagers,2.0,2015
Antioquia,Caldas,Female,Blunt force weapon,Adult,35.0,2015
Antioquia,Caldas,Female,Sharp weapon,Adult,1.0,2015
Antioquia,Caldas,Female,Not reported,Adult,9.0,2015
Antioquia,Caldas,Female,None,Adult,80.0,2015
Antioquia,Caldas,Male,Sharp weapon,Adult,1.0,2015
Antioquia,Caldas,Male,Blunt force weapon,Teenagers,1.0,2015
Antioquia,Caldas,Male,Blunt force weapon,Adult,10.0,2015
Antioquia,Caldas,Male,Not reported,Adult,2.0,2015
Antioquia,Caldas,Male,Punzantes,Adult,1.0,2015
Antioquia,Caldas,Male,None,Adult,12.0,2015
Antioquia,Campamento,Female,Blunt force weapon,Adult,6.0,2015
Antioquia,Campamento,Female,None,Adult,4.0,2015
Antioquia,Campamento,Female,None,Minors,1.0,2015
Antioquia,Campamento,Male,Blunt force weapon,Minors,2.0,2015
Antioquia,Caracolí,Male,None,Adult,1.0,2015
Antioquia,Caramanta,Male,Blunt force weapon,Adult,1.0,2015
