Census Geographic Identifier,Census Geography Name,Year,Total (Est.),Total (SE),American Indian and Alaska Native Alone (Est.),American Indian and Alaska Native Alone (SE),Asian or Pacific Islander Alone (Est.),Asian or Pacific Islander Alone (SE),Asian Alone (Est.),Asian Alone (SE),Black or African American Alone (Est.),Black or African American Alone (SE),Hispanic or Latino (Est.),Hispanic or Latino (SE),Not Hispanic or Latino (Est.),Not Hispanic or Latino (SE),Native Hawaiian and Other Pacific Islander Alone (Est.),Native Hawaiian and Other Pacific Islander Alone (SE),"White Alone, Not Hispanic or Latino (Est.)","White Alone, Not Hispanic or Latino (SE)",Total minus non-Hispanic Whites (Est.),Total minus non-Hispanic Whites (SE),Some Other Race Alone (Est.),Some Other Race Alone (SE),Some Other Race Alone or Two or More Races (Est.),Some Other Race Alone or Two or More Races (SE),Two or More Races (Est.),Two or More Races (SE),White Alone (Est.),White Alone (SE)
97000US0100007,"Hoover City School District, Alabama",2009,14.138439,7.2205315,,,,,,,,,,,,,,,14.89726,10.784774,13.118526,22.566437,,,,,,,14.89726,10.784774
97000US0100007,"Hoover City School District, Alabama",2010,24.935896,15.522777,,,,,,,,,,,,,,,,,,,,,,,,,,
97000US0100007,"Hoover City School District, Alabama",2011,22.409639,11.833663,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.670078
97000US0100007,"Hoover City School District, Alabama",2012,13.028169,8.2568731,,,,,,,,,,,,,,,11.464969,10.678983,13.381295,10.333559,,,,,,,7.9120884,7.5517273
97000US0100007,"Hoover City School District, Alabama",2013,13.508442,5.7756839,,,,,,,,,,,,,,,9.5588236,5.4227166,14.861462,7.6763501,,,,,,,25.711819,15.723805
97000US0100007,"Hoover City School District, Alabama",2014,13.390928,8.1978407,,,,,,,,,,,,,,,17.018635,13.736029,8.3904114,29.004679,,,,,,,17.018635,13.736029
97000US0100007,"Hoover City School District, Alabama",2015,10.761514,6.6666298,,,,,,,,,,,,,,,5.2631578,5.0703735,12.962963,9.0622244,,,,,,,4.8744464,4.7408419
97000US0100007,"Hoover City School District, Alabama",2016,15.421687,9.8017788,,,,,,,,,,,,,,,28.318584,16.441601,0.0,32.864357,,,,,,,28.318584,16.441601
97000US0100007,"Hoover City School District, Alabama",2017,17.462614,9.0822849,,,,,,,,,,,,,,,0.0,16.167625,27.403482,13.47688,,,,,,,0.0,16.167625
97000US0100270,"Baldwin County School District, Alabama",2009,42.920353,7.91325,,,,,,,,,,,,,,,40.52478,8.7714577,45.805695,19.093876,,,,,,,38.280293,8.3581095
